Team,Conf App,Conf Win,SB Win,17-0
BUF,69.40%,49.70%,32.10%,0.00%
PHI,60.30%,40.70%,20.20%,3.40%
KC,36.00%,15.70%,8.50%,0.00%
DAL,31.40%,17.30%,8.10%,0.00%
BAL,28.50%,12.40%,6.60%,0.00%
MIN,28.00%,10.80%,4.00%,0.00%
TB,20.90%,9.30%,3.80%,0.00%
CIN,16.50%,6.70%,3.30%,0.00%
SEA,12.90%,5.00%,1.70%,0.00%
LAR,10.10%,4.10%,1.50%,0.00%
LAC,10.20%,3.40%,1.40%,0.00%
SF,10.10%,3.90%,1.40%,0.00%
NYJ,9.20%,3.20%,1.30%,0.00%
MIA,7.60%,2.70%,1.10%,0.00%
NYG,8.90%,3.00%,0.90%,0.00%
GB,5.80%,2.30%,0.80%,0.00%
TEN,8.80%,2.30%,0.80%,0.00%
ATL,5.30%,1.70%,0.50%,0.00%
NE,2.60%,0.90%,0.40%,0.00%
LV,2.70%,0.90%,0.30%,0.00%
JAX,3.10%,0.90%,0.30%,0.00%
NO,2.60%,0.90%,0.30%,0.00%
CLE,1.00%,0.40%,0.20%,0.00%
PIT,1.20%,0.30%,0.10%,0.00%
ARI,1.40%,0.40%,0.10%,0.00%
IND,1.70%,0.40%,0.10%,0.00%
,,,,